Date,USD
2017-08-16 00:00:00,106742514.4999
2017-08-19 00:00:00,444138488.1736
2017-08-22 00:00:00,289961249.8068
2017-08-25 00:00:00,243781229.4927
2017-08-28 00:00:00,122880681.066
2017-08-31 00:00:00,225853164.216
2017-09-03 00:00:00,516978170.6254
2017-09-06 00:00:00,513071150.6586
2017-09-09 00:00:00,559278215.7192
2017-09-12 00:00:00,274429793.0583
2017-09-15 00:00:00,790068008.2001
2017-09-18 00:00:00,239259978.2484
2017-09-21 00:00:00,257063837.0904
2017-09-24 00:00:00,188450162.439
2017-09-27 00:00:00,179435745.21
2017-09-30 00:00:00,274136475.9474
2017-10-03 00:00:00,241311075.5808
2017-10-06 00:00:00,205725059.176
2017-10-09 00:00:00,251605409.5926
2017-10-12 00:00:00,295127991.4344
2017-10-15 00:00:00,337135010.2458
2017-10-18 00:00:00,330582864.74
2017-10-21 00:00:00,697705154.6796
2017-10-24 00:00:00,704517582.7138
2017-10-27 00:00:00,475131131.5198
2017-10-29 23:00:00,938648249.2575
2017-11-01 23:00:00,753929800.389
2017-11-04 23:00:00,655029352.6182
2017-11-07 23:00:00,598849173.4176
2017-11-10 23:00:00,1287567382.7688
2017-11-13 23:00:00,1418267494.4152
2017-11-16 23:00:00,1311892193.3026
2017-11-19 23:00:00,628384809.3768
2017-11-22 23:00:00,550836992.2744
2017-11-25 23:00:00,808031942.176
2017-11-28 23:00:00,996705854.69
2017-12-01 23:00:00,1740537525.8832
2017-12-04 23:00:00,1369623771.249
2017-12-07 23:00:00,4956849516.1936
2017-12-10 23:00:00,2382377788.817
2017-12-13 23:00:00,1705817591.5657
2017-12-16 23:00:00,1363500363.066
2017-12-19 23:00:00,1981230494.7758
2017-12-22 23:00:00,1758482732.8843
2017-12-25 23:00:00,988326041.111
2017-12-28 23:00:00,1607020050.9088
2017-12-31 23:00:00,1000379552.84
2018-01-03 23:00:00,1059922923.7584
2018-01-06 23:00:00,906109684.557
2018-01-09 23:00:00,1116810955.326
